Mês/Ano,Razão Social,CNPJ,Região,Estado,Município,Produto,Quantidade (m³)
03/2022,CARAMURU ALIMENTOS S.A.,00080671000371,CENTRO OESTE,Goiás,SAO SIMAO,ÁCIDO GRAXO DE ÓLEO DE SOJA,249
03/2022,CARAMURU ALIMENTOS S.A.,00080671002153,CENTRO OESTE,Goiás,IPAMERI,ÁCIDO GRAXO DE ÓLEO DE SOJA,151
03/2022,MINERVA S.A.,67620377004705,CENTRO OESTE,Goiás,PALMEIRAS DE GOIAS,ÁCIDO GRAXO DE ÓLEO DE SOJA,385
03/2022,CAIBIENSE GRAN VITA LTDA,75817163000756,CENTRO OESTE,Mato Grosso,RONDONOPOLIS,ÁCIDO GRAXO DE ÓLEO DE SOJA,395
03/2022,BINATURAL INDUSTRIA E COMERCIO DE OLEOS VEGETAIS LTDA - EPP,07113559000177,CENTRO OESTE,Goiás,FORMOSA,GORDURA BOVINA,2789
03/2022,MINERVA S.A.,67620377004705,CENTRO OESTE,Goiás,PALMEIRAS DE GOIAS,GORDURA BOVINA,186
03/2022,OLFAR S/A - ALIMENTO E ENERGIA,91830836006452,CENTRO OESTE,Goiás,PORANGATU,GORDURA BOVINA,2540
03/2022,DELTA CUIABA PRODUTORA DE BIOCOMBUSTIVEIS LTDA.,11652509000135,CENTRO OESTE,Mato Grosso,CUIABA,GORDURA BOVINA,157
03/2022,BINATURAL BAHIA LTDA,37880187000175,NORDESTE,Bahia,SIMOES FILHO,GORDURA BOVINA,988
03/2022,OLEOPLAN NORDESTE INDUSTRIA DE BIOCOMBUSTIVEL LTDA.,13463913000358,NORDESTE,Bahia,IRAQUARA,GORDURA BOVINA,8
03/2022,AMAZONBIO - INDUSTRIA E COMERCIO DE BIODIESEL DA AMAZONIA LTDA.,08794451000150,NORTE,Rondônia,JI-PARANA,GORDURA BOVINA,375
03/2022,PETROBRAS BIOCOMBUSTIVEL S/A,10144628000467,SUDESTE,Minas Gerais,MONTES CLAROS,GORDURA BOVINA,5046
03/2022,JBS S/A,02916265013300,SUDESTE,São Paulo,LINS,GORDURA BOVINA,5239
03/2022,PRISMA COMERCIAL EXPORTADORA DE OLEOQUIMICOS LTDA,09267863000609,SUDESTE,São Paulo,SUMARE,GORDURA BOVINA,47
03/2022,POTENCIAL BIODIESEL LTDA,12613484000123,SUL,Paraná,LAPA,GORDURA BOVINA,3427
03/2022,FUGA COUROS SA,91302349001610,SUL,Rio Grande do Sul,CAMARGO,GORDURA BOVINA,8480
03/2022,OLEOPLAN S.A. OLEOS VEGETAIS PLANALTO,88676127000257,SUL,Rio Grande do Sul,VERANOPOLIS,GORDURA BOVINA,6350
03/2022,OLFAR S/A - ALIMENTO E ENERGIA,91830836000683,SUL,Rio Grande do Sul,ERECHIM,GORDURA BOVINA,277
03/2022,PETROBRAS BIOCOMBUSTIVEL S/A,10144628000467,SUDESTE,Minas Gerais,MONTES CLAROS,GORDURA DE FRANGO,876
03/2022,JBS S/A,02916265013300,SUDESTE,São Paulo,LINS,GORDURA DE FRANGO,1768
03/2022,POTENCIAL BIODIESEL LTDA,12613484000123,SUL,Paraná,LAPA,GORDURA DE FRANGO,7595
03/2022,OLFAR S/A - ALIMENTO E ENERGIA,91830836000683,SUL,Rio Grande do Sul,ERECHIM,GORDURA DE FRANGO,38
03/2022,OLFAR S/A - ALIMENTO E ENERGIA,91830836006452,CENTRO OESTE,Goiás,PORANGATU,GORDURA DE PORCO,2153
03/2022,PETROBRAS BIOCOMBUSTIVEL S/A,10144628000467,SUDESTE,Minas Gerais,MONTES CLAROS,GORDURA DE PORCO,568
03/2022,OLFAR S/A - ALIMENTO E ENERGIA,91830836004085,SUDESTE,Rio de Janeiro,PORTO REAL,GORDURA DE PORCO,4354
03/2022,JBS S/A,02916265013300,SUDESTE,São Paulo,LINS,GORDURA DE PORCO,4348
03/2022,POTENCIAL BIODIESEL LTDA,12613484000123,SUL,Paraná,LAPA,GORDURA DE PORCO,1676
03/2022,OLFAR S/A - ALIMENTO E ENERGIA,91830836000683,SUL,Rio Grande do Sul,ERECHIM,GORDURA DE PORCO,3719
03/2022,BINATURAL INDUSTRIA E COMERCIO DE OLEOS VEGETAIS LTDA - EPP,07113559000177,CENTRO OESTE,Goiás,FORMOSA,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),37
03/2022,GRANOL INDUSTRIA COMERCIO E EXPORTACAO SA,50290329002660,CENTRO OESTE,Goiás,ANAPOLIS,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),201
03/2022,MINERVA S.A.,67620377004705,CENTRO OESTE,Goiás,PALMEIRAS DE GOIAS,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),340
03/2022,BIOPAR PRODUCAO DE BIODIESEL PARECIS LTDA,08684263000179,CENTRO OESTE,Mato Grosso,NOVA MARILANDIA,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),4792
03/2022,BINATURAL BAHIA LTDA,37880187000175,NORDESTE,Bahia,SIMOES FILHO,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),1312
03/2022,BSBIOS INDUSTRIA E COMERCIO DE BIODIESEL SUL BRASIL S/A,07322382000119,SUL,Rio Grande do Sul,PASSO FUNDO,ÓLEO DE COLZA/CANOLA (BRESSICA CAMPESTRIS),509
03/2022,BINATURAL BAHIA LTDA,37880187000175,NORDESTE,Bahia,SIMOES FILHO,ÓLEO DE FRITURA USADO,104
03/2022,PETROBRAS BIOCOMBUSTIVEL S/A,10144628000386,NORDESTE,Bahia,CANDEIAS,ÓLEO DE FRITURA USADO,56
03/2022,GRANOL INDUSTRIA COMERCIO E EXPORTACAO SA,50290329008430,NORTE,Tocantins,PORTO NACIONAL,ÓLEO DE FRITURA USADO,5
03/2022,PETROBRAS BIOCOMBUSTIVEL S/A,10144628000467,SUDESTE,Minas Gerais,MONTES CLAROS,ÓLEO DE FRITURA USADO,77
03/2022,OLFAR S/A - ALIMENTO E ENERGIA,91830836004085,SUDESTE,Rio de Janeiro,PORTO REAL,ÓLEO DE FRITURA USADO,5371
03/2022,JBS S/A,02916265013300,SUDESTE,São Paulo,LINS,ÓLEO DE FRITURA USADO,809
03/2022,POTENCIAL BIODIESEL LTDA,12613484000123,SUL,Paraná,LAPA,ÓLEO DE FRITURA USADO,1057
03/2022,BSBIOS INDUSTRIA E COMERCIO DE BIODIESEL SUL BRASIL S/A,07322382000119,SUL,Rio Grande do Sul,PASSO FUNDO,ÓLEO DE FRITURA USADO,469
03/2022,OLEOPLAN S.A. OLEOS VEGETAIS PLANALTO,88676127000257,SUL,Rio Grande do Sul,VERANOPOLIS,ÓLEO DE FRITURA USADO,270
03/2022,OLFAR S/A - ALIMENTO E ENERGIA,91830836000683,SUL,Rio Grande do Sul,ERECHIM,ÓLEO DE FRITURA USADO,770
03/2022,SEARA ALIMENTOS LTDA,02914460032788,SUL,Santa Catarina,MAFRA,ÓLEO DE FRITURA USADO,501
03/2022,MINERVA S.A.,67620377004705,CENTRO OESTE,Goiás,PALMEIRAS DE GOIAS,ÓLEO DE MILHO,155
03/2022,OLFAR S/A - ALIMENTO E ENERGIA,91830836006452,CENTRO OESTE,Goiás,PORANGATU,ÓLEO DE MILHO,177
03/2022,CAIBIENSE GRAN VITA LTDA,75817163000756,CENTRO OESTE,Mato Grosso,RONDONOPOLIS,ÓLEO DE MILHO,572
03/2022,OLFAR S/A - ALIMENTO E ENERGIA,91830836000683,SUL,Rio Grande do Sul,ERECHIM,ÓLEO DE MILHO,69
03/2022,BINATURAL INDUSTRIA E COMERCIO DE OLEOS VEGETAIS LTDA - EPP,07113559000177,CENTRO OESTE,Goiás,FORMOSA,ÓLEO DE PALMA/DENDÊ (ELAEIS GUINEENSIS OU ELAEIS O,76
03/2022,GRANOL INDUSTRIA COMERCIO E EXPORTACAO SA,50290329002660,CENTRO OESTE,Goiás,ANAPOLIS,ÓLEO DE PALMA/DENDÊ (ELAEIS GUINEENSIS OU ELAEIS O,9
03/2022,MINERVA S.A.,67620377004705,CENTRO OESTE,Goiás,PALMEIRAS DE GOIAS,ÓLEO DE PALMA/DENDÊ (ELAEIS GUINEENSIS OU ELAEIS O,695
03/2022,OLFAR S/A - ALIMENTO E ENERGIA,91830836006452,CENTRO OESTE,Goiás,PORANGATU,ÓLEO DE PALMA/DENDÊ (ELAEIS GUINEENSIS OU ELAEIS O,157
03/2022,BINATURAL BAHIA LTDA,37880187000175,NORDESTE,Bahia,SIMOES FILHO,ÓLEO DE PALMA/DENDÊ (ELAEIS GUINEENSIS OU ELAEIS O,3063
03/2022,OLEOPLAN NORDESTE INDUSTRIA DE BIOCOMBUSTIVEL LTDA.,13463913000358,NORDESTE,Bahia,IRAQUARA,ÓLEO DE PALMA/DENDÊ (ELAEIS GUINEENSIS OU ELAEIS O,9049
03/2022,PETROBRAS BIOCOMBUSTIVEL S/A,10144628000386,NORDESTE,Bahia,CANDEIAS,ÓLEO DE PALMA/DENDÊ (ELAEIS GUINEENSIS OU ELAEIS O,1318
03/2022,VILA NOVA BIODIESEL LTDA,39796014000107,NORTE,Pará,TOME-ACU,ÓLEO DE PALMA/DENDÊ (ELAEIS GUINEENSIS OU ELAEIS O,987
03/2022,AMAZONBIO - INDUSTRIA E COMERCIO DE BIODIESEL DA AMAZONIA LTDA.,08794451000150,NORTE,Rondônia,JI-PARANA,ÓLEO DE PALMA/DENDÊ (ELAEIS GUINEENSIS OU ELAEIS O,382
03/2022,BINATURAL INDUSTRIA E COMERCIO DE OLEOS VEGETAIS LTDA - EPP,07113559000177,CENTRO OESTE,Goiás,FORMOSA,ÓLEO DE SOJA (GLYCINE MAX),9423
03/2022,BIONORTE INDUSTRIA E COMERCIO DE BIODIESEL LTDA,08080422000126,CENTRO OESTE,Goiás,SAO MIGUEL DO ARAGUAIA,ÓLEO DE SOJA (GLYCINE MAX),34
03/2022,CARAMURU ALIMENTOS S.A.,00080671000371,CENTRO OESTE,Goiás,SAO SIMAO,ÓLEO DE SOJA (GLYCINE MAX),12175
03/2022,CARAMURU ALIMENTOS S.A.,00080671002153,CENTRO OESTE,Goiás,IPAMERI,ÓLEO DE SOJA (GLYCINE MAX),10983
03/2022,CEREAL COMERCIO EXPORTACAO E REPRESENTACAO AGROPECUARIA SA,00012377000160,CENTRO OESTE,Goiás,RIO VERDE,ÓLEO DE SOJA (GLYCINE MAX),10522
03/2022,GRANOL INDUSTRIA COMERCIO E EXPORTACAO SA,50290329002660,CENTRO OESTE,Goiás,ANAPOLIS,ÓLEO DE SOJA (GLYCINE MAX),16279
03/2022,MINERVA S.A.,67620377004705,CENTRO OESTE,Goiás,PALMEIRAS DE GOIAS,ÓLEO DE SOJA (GLYCINE MAX),395
03/2022,OLFAR S/A - ALIMENTO E ENERGIA,91830836006452,CENTRO OESTE,Goiás,PORANGATU,ÓLEO DE SOJA (GLYCINE MAX),37
03/2022,ADM DO BRASIL LTDA,02003402002461,CENTRO OESTE,Mato Grosso,RONDONOPOLIS,ÓLEO DE SOJA (GLYCINE MAX),29453
03/2022,ALIANCA BIOCOMBUSTIVEL LTDA,10737181000197,CENTRO OESTE,Mato Grosso,RONDONOPOLIS,ÓLEO DE SOJA (GLYCINE MAX),288
03/2022,BIO VIDA PRODUCAO E COMERCIO DE BIODIESEL LTDA - ME,08772264000175,CENTRO OESTE,Mato Grosso,VARZEA GRANDE,ÓLEO DE SOJA (GLYCINE MAX),2214
03/2022,BIOPAR PRODUCAO DE BIODIESEL PARECIS LTDA,08684263000179,CENTRO OESTE,Mato Grosso,NOVA MARILANDIA,ÓLEO DE SOJA (GLYCINE MAX),3031
03/2022,BUNGE ALIMENTOS S/A,84046101054366,CENTRO OESTE,Mato Grosso,NOVA MUTUM,ÓLEO DE SOJA (GLYCINE MAX),13939
03/2022,CAIBIENSE GRAN VITA LTDA,75817163000756,CENTRO OESTE,Mato Grosso,RONDONOPOLIS,ÓLEO DE SOJA (GLYCINE MAX),133
03/2022,CARAMURU ALIMENTOS S.A.,00080671002668,CENTRO OESTE,Mato Grosso,SORRISO,ÓLEO DE SOJA (GLYCINE MAX),9331
03/2022,COFCO INTERNATIONAL BRASIL S.A.,06315338022864,CENTRO OESTE,Mato Grosso,RONDONOPOLIS,ÓLEO DE SOJA (GLYCINE MAX),8443
03/2022,DELTA CUIABA PRODUTORA DE BIOCOMBUSTIVEIS LTDA.,11652509000135,CENTRO OESTE,Mato Grosso,CUIABA,ÓLEO DE SOJA (GLYCINE MAX),3660
03/2022,CARGILL AGRICOLA S A,60498706029481,CENTRO OESTE,Mato Grosso do Sul,TRES LAGOAS,ÓLEO DE SOJA (GLYCINE MAX),2
03/2022,BINATURAL BAHIA LTDA,37880187000175,NORDESTE,Bahia,SIMOES FILHO,ÓLEO DE SOJA (GLYCINE MAX),10809
03/2022,OLEOPLAN NORDESTE INDUSTRIA DE BIOCOMBUSTIVEL LTDA.,13463913000358,NORDESTE,Bahia,IRAQUARA,ÓLEO DE SOJA (GLYCINE MAX),7901
03/2022,PETROBRAS BIOCOMBUSTIVEL S/A,10144628000386,NORDESTE,Bahia,CANDEIAS,ÓLEO DE SOJA (GLYCINE MAX),4013
03/2022,J APARECIDO DOS SANTOS,33931174000127,NORDESTE,Piauí,FLORIANO,ÓLEO DE SOJA (GLYCINE MAX),1540
03/2022,GRANOL INDUSTRIA COMERCIO E EXPORTACAO SA,50290329008430,NORTE,Tocantins,PORTO NACIONAL,ÓLEO DE SOJA (GLYCINE MAX),5606
03/2022,PETROBRAS BIOCOMBUSTIVEL S/A,10144628000467,SUDESTE,Minas Gerais,MONTES CLAROS,ÓLEO DE SOJA (GLYCINE MAX),5397
03/2022,JBS S/A,02916265013300,SUDESTE,São Paulo,LINS,ÓLEO DE SOJA (GLYCINE MAX),331
03/2022,BSBIOS INDUSTRIA E COMERCIO DE BIODIESEL SUL BRASIL S/A,07322382000461,SUL,Paraná,MARIALVA,ÓLEO DE SOJA (GLYCINE MAX),21707
03/2022,POTENCIAL BIODIESEL LTDA,12613484000123,SUL,Paraná,LAPA,ÓLEO DE SOJA (GLYCINE MAX),28026
03/2022,BIANCHINI SA INDUSTRIA COMERCIO E AGRICULTURA,87548020000260,SUL,Rio Grande do Sul,CANOAS,ÓLEO DE SOJA (GLYCINE MAX),92
03/2022,BOCCHI INDUSTRIA E COMERCIO DE CEREAIS LTDA,02987873001056,SUL,Rio Grande do Sul,MUITOS CAPOES,ÓLEO DE SOJA (GLYCINE MAX),1888
03/2022,BSBIOS INDUSTRIA E COMERCIO DE BIODIESEL SUL BRASIL S/A,07322382000119,SUL,Rio Grande do Sul,PASSO FUNDO,ÓLEO DE SOJA (GLYCINE MAX),28845
03/2022,FUGA COUROS SA,91302349001610,SUL,Rio Grande do Sul,CAMARGO,ÓLEO DE SOJA (GLYCINE MAX),5395
03/2022,GRANOL INDUSTRIA COMERCIO E EXPORTACAO SA,50290329006143,SUL,Rio Grande do Sul,CACHOEIRA DO SUL,ÓLEO DE SOJA (GLYCINE MAX),1531
03/2022,OLEOPLAN S.A. OLEOS VEGETAIS PLANALTO,88676127000257,SUL,Rio Grande do Sul,VERANOPOLIS,ÓLEO DE SOJA (GLYCINE MAX),12995
03/2022,OLFAR S/A - ALIMENTO E ENERGIA,91830836000683,SUL,Rio Grande do Sul,ERECHIM,ÓLEO DE SOJA (GLYCINE MAX),11810
03/2022,TRES TENTOS AGROINDUSTRIAL SA,94813102001737,SUL,Rio Grande do Sul,IJUI,ÓLEO DE SOJA (GLYCINE MAX),14715
03/2022,ADM DO BRASIL LTDA,02003402004677,SUL,Santa Catarina,JOACABA,ÓLEO DE SOJA (GLYCINE MAX),10164
03/2022,SEARA ALIMENTOS LTDA,02914460032788,SUL,Santa Catarina,MAFRA,ÓLEO DE SOJA (GLYCINE MAX),12546
03/2022,BINATURAL INDUSTRIA E COMERCIO DE OLEOS VEGETAIS LTDA - EPP,07113559000177,CENTRO OESTE,Goiás,FORMOSA,OUTROS MATERIAIS GRAXOS,386
03/2022,GRANOL INDUSTRIA COMERCIO E EXPORTACAO SA,50290329002660,CENTRO OESTE,Goiás,ANAPOLIS,OUTROS MATERIAIS GRAXOS,1190
03/2022,OLFAR S/A - ALIMENTO E ENERGIA,91830836006452,CENTRO OESTE,Goiás,PORANGATU,OUTROS MATERIAIS GRAXOS,14585
03/2022,BIO VIDA PRODUCAO E COMERCIO DE BIODIESEL LTDA - ME,08772264000175,CENTRO OESTE,Mato Grosso,VARZEA GRANDE,OUTROS MATERIAIS GRAXOS,1354
03/2022,COOPERATIVA AGROINDUSTRIAL DOS PRODUTORES RURAIS DE FELIZ NATAL - COOPERFELIZ,08382761000167,CENTRO OESTE,Mato Grosso,FELIZ NATAL,OUTROS MATERIAIS GRAXOS,1321
03/2022,FIAGRIL LTDA,02734023000821,CENTRO OESTE,Mato Grosso,LUCAS DO RIO VERDE,OUTROS MATERIAIS GRAXOS,7350
03/2022,JBS S/A,02916265028099,CENTRO OESTE,Mato Grosso,CAMPO VERDE,OUTROS MATERIAIS GRAXOS,8905
03/2022,BINATURAL BAHIA LTDA,37880187000175,NORDESTE,Bahia,SIMOES FILHO,OUTROS MATERIAIS GRAXOS,1092
03/2022,GRANOL INDUSTRIA COMERCIO E EXPORTACAO SA,50290329008430,NORTE,Tocantins,PORTO NACIONAL,OUTROS MATERIAIS GRAXOS,263
03/2022,OLFAR S/A - ALIMENTO E ENERGIA,91830836004085,SUDESTE,Rio de Janeiro,PORTO REAL,OUTROS MATERIAIS GRAXOS,1538
03/2022,JBS S/A,02916265013300,SUDESTE,São Paulo,LINS,OUTROS MATERIAIS GRAXOS,261
03/2022,PRISMA COMERCIAL EXPORTADORA DE OLEOQUIMICOS LTDA,09267863000609,SUDESTE,São Paulo,SUMARE,OUTROS MATERIAIS GRAXOS,113
03/2022,BSBIOS INDUSTRIA E COMERCIO DE BIODIESEL SUL BRASIL S/A,07322382000461,SUL,Paraná,MARIALVA,OUTROS MATERIAIS GRAXOS,15417
03/2022,BSBIOS INDUSTRIA E COMERCIO DE BIODIESEL SUL BRASIL S/A,07322382000119,SUL,Rio Grande do Sul,PASSO FUNDO,OUTROS MATERIAIS GRAXOS,17005
03/2022,OLEOPLAN S.A. OLEOS VEGETAIS PLANALTO,88676127000257,SUL,Rio Grande do Sul,VERANOPOLIS,OUTROS MATERIAIS GRAXOS,448
03/2022,OLFAR S/A - ALIMENTO E ENERGIA,91830836000683,SUL,Rio Grande do Sul,ERECHIM,OUTROS MATERIAIS GRAXOS,2283
03/2022,SEARA ALIMENTOS LTDA,02914460032788,SUL,Santa Catarina,MAFRA,OUTROS MATERIAIS GRAXOS,55
02/2022,PRISMA COMERCIAL EXPORTADORA DE OLEOQUIMICOS LTDA,09267863000609,SUDESTE,São Paulo,SUMARE,ÁCIDO GRAXO DE ÓLEO DE PALMA / DENDÊ,93
02/2022,CARAMURU ALIMENTOS S.A.,00080671000371,CENTRO OESTE,Goiás,SAO SIMAO,ÁCIDO GRAXO DE ÓLEO DE SOJA,228
02/2022,CARAMURU ALIMENTOS S.A.,00080671002153,CENTRO OESTE,Goiás,IPAMERI,ÁCIDO GRAXO DE ÓLEO DE SOJA,83
02/2022,MINERVA S.A.,67620377004705,CENTRO OESTE,Goiás,PALMEIRAS DE GOIAS,ÁCIDO GRAXO DE ÓLEO DE SOJA,78
02/2022,BINATURAL INDUSTRIA E COMERCIO DE OLEOS VEGETAIS LTDA - EPP,07113559000177,CENTRO OESTE,Goiás,FORMOSA,GORDURA BOVINA,2458
02/2022,MINERVA S.A.,67620377004705,CENTRO OESTE,Goiás,PALMEIRAS DE GOIAS,GORDURA BOVINA,29
02/2022,OLFAR S/A - ALIMENTO E ENERGIA,91830836006452,CENTRO OESTE,Goiás,PORANGATU,GORDURA BOVINA,1491
02/2022,DELTA CUIABA PRODUTORA DE BIOCOMBUSTIVEIS LTDA.,11652509000135,CENTRO OESTE,Mato Grosso,CUIABA,GORDURA BOVINA,1016
02/2022,DELTA BIOCOMBUSTIVEIS INDUSTRIA E COMERCIO LTDA,11513699000100,CENTRO OESTE,Mato Grosso do Sul,RIO BRILHANTE,GORDURA BOVINA,300
02/2022,BINATURAL BAHIA LTDA,37880187000175,NORDESTE,Bahia,SIMOES FILHO,GORDURA BOVINA,793
02/2022,OLEOPLAN NORDESTE INDUSTRIA DE BIOCOMBUSTIVEL LTDA.,13463913000358,NORDESTE,Bahia,IRAQUARA,GORDURA BOVINA,3698
02/2022,AMAZONBIO - INDUSTRIA E COMERCIO DE BIODIESEL DA AMAZONIA LTDA.,08794451000150,NORTE,Rondônia,JI-PARANA,GORDURA BOVINA,931
02/2022,PETROBRAS BIOCOMBUSTIVEL S/A,10144628000467,SUDESTE,Minas Gerais,MONTES CLAROS,GORDURA BOVINA,2271
02/2022,JBS S/A,02916265013300,SUDESTE,São Paulo,LINS,GORDURA BOVINA,9322
02/2022,PRISMA COMERCIAL EXPORTADORA DE OLEOQUIMICOS LTDA,09267863000609,SUDESTE,São Paulo,SUMARE,GORDURA BOVINA,112
02/2022,POTENCIAL BIODIESEL LTDA,12613484000123,SUL,Paraná,LAPA,GORDURA BOVINA,3540
02/2022,FUGA COUROS SA,91302349001610,SUL,Rio Grande do Sul,CAMARGO,GORDURA BOVINA,8129
02/2022,OLEOPLAN S.A. OLEOS VEGETAIS PLANALTO,88676127000257,SUL,Rio Grande do Sul,VERANOPOLIS,GORDURA BOVINA,4679
02/2022,OLFAR S/A - ALIMENTO E ENERGIA,91830836000683,SUL,Rio Grande do Sul,ERECHIM,GORDURA BOVINA,114
02/2022,TRES TENTOS AGROINDUSTRIAL SA,94813102001737,SUL,Rio Grande do Sul,IJUI,GORDURA BOVINA,29
02/2022,PETROBRAS BIOCOMBUSTIVEL S/A,10144628000467,SUDESTE,Minas Gerais,MONTES CLAROS,GORDURA DE FRANGO,864
02/2022,JBS S/A,02916265013300,SUDESTE,São Paulo,LINS,GORDURA DE FRANGO,1606
02/2022,POTENCIAL BIODIESEL LTDA,12613484000123,SUL,Paraná,LAPA,GORDURA DE FRANGO,4690
02/2022,OLFAR S/A - ALIMENTO E ENERGIA,91830836000683,SUL,Rio Grande do Sul,ERECHIM,GORDURA DE FRANGO,340
02/2022,OLFAR S/A - ALIMENTO E ENERGIA,91830836006452,CENTRO OESTE,Goiás,PORANGATU,GORDURA DE PORCO,1263
02/2022,PETROBRAS BIOCOMBUSTIVEL S/A,10144628000467,SUDESTE,Minas Gerais,MONTES CLAROS,GORDURA DE PORCO,643
02/2022,OLFAR S/A - ALIMENTO E ENERGIA,91830836004085,SUDESTE,Rio de Janeiro,PORTO REAL,GORDURA DE PORCO,4341
02/2022,JBS S/A,02916265013300,SUDESTE,São Paulo,LINS,GORDURA DE PORCO,1901
02/2022,POTENCIAL BIODIESEL LTDA,12613484000123,SUL,Paraná,LAPA,GORDURA DE PORCO,1356
02/2022,OLFAR S/A - ALIMENTO E ENERGIA,91830836000683,SUL,Rio Grande do Sul,ERECHIM,GORDURA DE PORCO,1920
